BirthYear;Country;Name;Gender;NumberOfName;Order
2018;TÜRKİYE;MERVE;Kadın;287074;8
2018;TÜRKİYE;ZEHRA;Kadın;256876;9
2018;TÜRKİYE;ESRA;Kadın;244552;10
2018;TÜRKİYE;ÖZLEM;Kadın;233619;11
2018;TÜRKİYE;YASEMİN;Kadın;209720;12
2018;TÜRKİYE;BÜŞRA;Kadın;205954;13
2018;TÜRKİYE;SULTAN;Kadın;201499;14
2018;TÜRKİYE;HÜLYA;Kadın;197341;15
2018;TÜRKİYE;DİLEK;Kadın;189080;16
2018;TÜRKİYE;MELEK;Kadın;189034;17
2018;TÜRKİYE;KÜBRA;Kadın;186940;18
2018;TÜRKİYE;LEYLA;Kadın;179106;19
2018;TÜRKİYE;SONGÜL;Kadın;178929;20
2018;TÜRKİYE;RABİA;Kadın;178353;21
2018;TÜRKİYE;SEVİM;Kadın;170452;22
2018;TÜRKİYE;AYSEL;Kadın;169201;23
2018;TÜRKİYE;FADİME;Kadın;167599;24
2018;TÜRKİYE;HACER;Kadın;165781;25
2018;TÜRKİYE;ŞERİFE;Kadın;163018;26
2018;TÜRKİYE;HAVVA;Kadın;159786;27
2018;TÜRKİYE;TUĞBA;Kadın;159147;28
2018;TÜRKİYE;AYNUR;Kadın;157152;29
2018;TÜRKİYE;HANİFE;Kadın;153022;30
